State,County,Income
Arkansas,White,"35,445"
Arkansas,Woodruff,"37,545"
Arkansas,Yell,"33,320"
California,Alameda,"76,644"
California,Alpine,"73,307"
California,Amador,"44,793"
California,Butte,"44,346"
California,Calaveras,"49,893"
California,Colusa,"49,094"
California,Contra Costa,"82,506"
California,Del Norte,"37,268"
California,El Dorado,"67,464"
California,Fresno,"43,084"
California,Glenn,"48,613"
California,Humboldt,"48,739"
California,Imperial,"36,974"
California,Inyo,"61,358"
California,Kern,"39,703"
California,Kings,"35,306"
California,Lake,"43,185"
California,Lassen,"37,844"
California,Los Angeles,"62,224"
California,Madera,"39,897"
California,Marin,"134,275"
California,Mariposa,"53,143"
California,Mendocino,"50,150"
California,Merced,"38,519"
California,Modoc,"44,822"
California,Mono,"51,325"
California,Monterey,"56,193"
California,Napa,"74,984"
California,Nevada,"61,799"
California,Orange,"69,268"
California,Placer,"66,700"
California,Plumas,"53,599"
California,Riverside,"40,637"
California,Sacramento,"52,544"
California,San Benito,"53,822"
California,San Bernardino,"40,316"
California,San Diego,"61,386"
California,San Francisco,"130,696"
California,San Joaquin,"44,995"
California,San Luis Obispo,"58,491"
California,San Mateo,"126,392"
California,Santa Barbara,"62,690"
California,Santa Clara,"107,877"
California,Santa Cruz,"69,355"
California,Shasta,"46,582"
California,Sierra,"46,615"
California,Siskiyou,"45,065"
California,Solano,"51,664"
California,Sonoma,"64,501"
California,Stanislaus,"44,120"
California,Sutter,"44,535"
California,Tehama,"42,483"
California,Trinity,"40,640"
California,Tulare,"40,420"
California,Tuolumne,"47,838"
California,Ventura,"61,712"
California,Yolo,"54,118"
California,Yuba,"40,929"
Colorado,Adams,"43,315"
Colorado,Alamosa,"37,351"
Colorado,Arapahoe,"60,180"
Colorado,Archuleta,"41,947"
Colorado,Baca,"40,968"
Colorado,Bent,"27,574"
Colorado,Boulder,"73,394"
Colorado,Broomfield,"66,410"
Colorado,Chaffee,"46,998"
Colorado,Cheyenne,"56,699"
Colorado,Clear Creek,"61,300"
Colorado,Conejos,"36,894"
Colorado,Costilla,"34,282"
Colorado,Crowley,"19,141"
Colorado,Custer,"41,681"
Colorado,Delta,"38,855"
Colorado,Denver,"79,849"
Colorado,Dolores,"34,935"
Colorado,Douglas,"73,662"
Colorado,Eagle,"78,152"
Colorado,Elbert,"57,334"
Colorado,El Paso,"48,467"
Colorado,Fremont,"35,435"
Colorado,Garfield,"59,653"
Colorado,Gilpin,"48,128"
Colorado,Grand,"49,845"
Colorado,Gunnison,"47,149"
Colorado,Hinsdale,"50,698"
Colorado,Huerfano,"42,459"
Colorado,Jackson,"49,723"
Colorado,Jefferson,"63,536"
Colorado,Kiowa,"50,117"
Colorado,Kit Carson,"37,274"
Colorado,Lake,"37,106"
Colorado,La Plata,"55,807"
Colorado,Larimer,"54,188"
Colorado,Las Animas,"40,765"
Colorado,Lincoln,"28,828"
Colorado,Logan,"48,161"
Colorado,Mesa,"44,935"
Colorado,Mineral,"71,095"
Colorado,Moffat,"42,130"
Colorado,Montezuma,"42,998"
Colorado,Montrose,"39,930"
Colorado,Morgan,"45,685"
Colorado,Otero,"38,190"
