"","State","County","totalDeaths","totalCases","Income.2018","Beds","Pop.2019","popDens","StayHomeDate"
"87","Florida","Holmes",0,9,30468,20,19617,41.6,"2020-04-03"
"88","Florida","Indian River",5,89,76059,612,159923,274.5,"2020-04-03"
"89","Florida","Jackson",0,13,32106,87,46414,54.2,"2020-04-03"
"90","Florida","Jefferson",2,27,40736,NA,14246,24.7,"2020-04-03"
"91","Florida","Lafayette",0,1,24148,NA,8422,16.3,"2020-04-03"
"92","Florida","Lake",10,222,42190,943,367118,316.6,"2020-04-03"
"93","Florida","Lee",37,961,51266,2240,770577,788.7,"2020-04-03"
"94","Florida","Leon",2,210,44482,1208,293582,413.1,"2020-04-03"
"95","Florida","Levy",0,13,35204,40,41503,36.5,"2020-04-03"
"96","Florida","Liberty",0,2,23582,NA,8354,10,"2020-04-03"
"97","Florida","Madison",2,43,31675,25,18493,27.6,"2020-04-03"
"98","Florida","Manatee",42,508,47378,806,403253,434.5,"2020-04-03"
"99","Florida","Marion",4,151,36997,919,365579,209.1,"2020-04-03"
"100","Florida","Martin",5,174,83873,558,161000,269.2,"2020-04-03"
"101","Florida","Miami-Dade",301,11351,50022,10243,2716940,1315.5,"2020-04-03"
"102","Florida","Monroe",3,78,92119,148,74228,74.3,"2020-04-03"
"103","Florida","Nassau",0,53,57877,54,88625,113,"2020-04-03"
"104","Florida","Okaloosa",3,149,48875,673,210738,194.4,"2020-04-03"
"105","Florida","Okeechobee",0,9,30661,100,42168,52,"2020-04-03"
"106","Florida","Orange",30,1322,44647,4751,1393452,1268.5,"2020-04-03"
"107","Florida","Osceola",7,463,33346,997,375751,202.4,"2020-04-03"
"108","Florida","Palm Beach",155,2697,79760,4993,1496770,670.2,"2020-04-03"
"109","Florida","Pasco",4,233,40313,1440,553947,622.2,"2020-04-03"
"110","Florida","Pinellas",24,687,53455,4229,974996,3347.5,"2020-04-03"
"111","Florida","Polk",18,410,35463,1793,724777,334.9,"2020-04-03"
"112","Florida","Putnam",1,87,31773,99,74521,102.2,"2020-04-03"
"113","Florida","Santa Rosa",6,149,44527,385,184313,149.6,"2020-04-03"
"114","Florida","Sarasota",32,321,64868,1618,433742,682.6,"2020-04-03"
"115","Florida","Seminole",8,357,49049,965,471826,1367,"2020-04-03"
"116","Florida","St. Johns",4,204,68149,335,264672,316.4,"2020-04-03"
"117","Florida","St. Lucie",19,228,39374,986,328297,485.7,"2020-04-03"
"118","Florida","Sumter",12,171,46100,339,132420,170.8,"2020-04-03"
"119","Florida","Suwannee",11,116,33068,15,44417,60.3,"2020-04-03"
"120","Florida","Taylor",0,3,30346,96,21569,21.6,"2020-04-03"
"121","Florida","Union",0,4,22227,217,15237,63.8,"2020-04-03"
"122","Florida","Volusia",17,434,42374,2042,553284,449.2,"2020-04-03"
"123","Florida","Wakulla",1,21,37026,NA,33739,50.8,"2020-04-03"
"124","Florida","Walton",0,35,59728,108,74071,53,"2020-04-03"
"125","Florida","Washington",0,12,29414,59,25473,42.7,"2020-04-03"
"126","Illinois","Adams",0,32,46886,335,65435,78.5,"2020-03-21"
"127","Illinois","Alexander",0,3,34713,NA,5761,35,"2020-03-21"
"128","Illinois","Bond",1,5,37653,150,16426,46.7,"2020-03-21"
"129","Illinois","Boone",8,76,47437,NA,53544,193,"2020-03-21"
"130","Illinois","Brown",0,0,35166,NA,6578,22.7,"2020-03-21"
"131","Illinois","Bureau",0,10,43931,25,32628,40.2,"2020-03-21"
"132","Illinois","Calhoun",0,1,42511,NA,4739,20,"2020-03-21"
"133","Illinois","Carroll",2,9,42399,NA,14305,34.6,"2020-03-21"
"134","Illinois","Cass",0,27,42649,NA,12147,36.3,"2020-03-21"
"135","Illinois","Champaign",5,105,45328,549,209689,201.8,"2020-03-21"
"136","Illinois","Christian",4,28,41724,67,32304,49.1,"2020-03-21"
"137","Illinois","Clark",0,4,43012,NA,15441,32.6,"2020-03-21"
"138","Illinois","Clay",0,2,40351,18,13184,29.5,"2020-03-21"
"139","Illinois","Clinton",1,84,48253,NA,37562,79.7,"2020-03-21"
"140","Illinois","Coles",1,22,40995,118,50621,106,"2020-03-21"
"141","Illinois","Cook",1313,30574,62205,18259,5150233,5495.1,"2020-03-21"
"142","Illinois","Crawford",0,10,48332,63,18667,44.7,"2020-03-21"
"143","Illinois","Cumberland",0,3,43778,NA,10766,31.9,"2020-03-21"
"144","Illinois","De Witt",0,1,47205,25,15638,41.7,"2020-03-21"
"145","Illinois","DeKalb",1,71,40929,NA,104897,166.6,"2020-03-21"
"146","Illinois","Douglas",0,13,51537,NA,19465,48,"2020-03-21"
"147","Illinois","DuPage",131,2443,72889,NA,922921,2799.8,"2020-03-21"
"148","Illinois","Edgar",0,0,42184,25,17161,29.8,"2020-03-21"
"149","Illinois","Edwards",0,0,40331,NA,6395,30.2,"2020-03-21"
"150","Illinois","Effingham",1,5,50599,146,34008,71.5,"2020-03-21"
"151","Illinois","Fayette",2,16,35456,110,21336,30.9,"2020-03-21"
"152","Illinois","Ford",1,8,52879,67,12961,29,"2020-03-21"
"153","Illinois","Franklin",0,8,37355,25,38469,96.8,"2020-03-21"
"154","Illinois","Fulton",0,3,38361,93,34340,42.8,"2020-03-21"
"155","Illinois","Gallatin",0,2,44602,NA,4828,17.3,"2020-03-21"
"156","Illinois","Greene",0,2,36912,286,12969,25.6,"2020-03-21"
"157","Illinois","Grundy",0,30,51657,89,51054,119.8,"2020-03-21"
"158","Illinois","Hamilton",0,2,43349,25,8116,19.5,"2020-03-21"
"159","Illinois","Hancock",0,4,46081,18,17708,24.1,"2020-03-21"
"160","Illinois","Hardin",0,1,37155,25,3821,24.3,"2020-03-21"
"161","Illinois","Henderson",0,4,41951,NA,6646,19.3,"2020-03-21"
"162","Illinois","Henry",0,36,45072,86,48913,61.3,"2020-03-21"
"163","Illinois","Iroquois",0,18,43258,84,27114,26.6,"2020-03-21"
"164","Illinois","Jackson",7,67,37284,184,56750,103.1,"2020-03-21"
"165","Illinois","Jasper",2,42,45961,NA,9610,19.6,"2020-03-21"
"166","Illinois","Jefferson",5,83,39581,187,37684,68,"2020-03-21"
"167","Illinois","Jersey",1,12,41522,49,21773,62.2,"2020-03-21"
"168","Illinois","Jo Daviess",0,11,49061,25,21235,37.7,"2020-03-21"
"169","Illinois","Johnson",0,4,35956,NA,12417,36.6,"2020-03-21"
"170","Illinois","Kane",39,1109,51333,1101,532403,990.8,"2020-03-21"
"171","Illinois","Kankakee",23,304,41290,468,109862,167.7,"2020-03-21"
"172","Illinois","Kendall",5,208,49033,NA,128990,358.2,"2020-03-21"
"173","Illinois","Knox",0,36,39471,209,49699,73.9,"2020-03-21"
"174","Illinois","LaSalle",1,44,44632,NA,108669,100.4,"2020-03-21"
"175","Illinois","Lake",118,2990,78559,968,696535,1585.6,"2020-03-21"
"176","Illinois","Lawrence",0,3,29911,25,15678,45.2,"2020-03-21"
"177","Illinois","Lee",0,19,41788,80,34096,49.7,"2020-03-21"
"178","Illinois","Livingston",1,20,44775,42,35648,37.3,"2020-03-21"
"179","Illinois","Logan",0,4,38339,25,28618,49,"2020-03-21"
"180","Illinois","Macon",11,102,48214,188,104009,190.8,"2020-03-21"
"181","Illinois","Macoupin",0,28,41607,50,44926,55.4,"2020-03-21"
"182","Illinois","Madison",16,305,46890,968,262966,376.3,"2020-03-21"
"183","Illinois","Marion",0,26,43059,135,37205,68.9,"2020-03-21"
"184","Illinois","Marshall",0,4,46015,NA,11438,32.7,"2020-03-21"
"185","Illinois","Mason",0,6,42510,20,13359,27.2,"2020-03-21"
"186","Illinois","Massac",0,4,38360,25,13772,65,"2020-03-21"
"187","Illinois","McDonough",0,6,38692,NA,29682,55.3,"2020-03-21"
"188","Illinois","McHenry",28,513,55720,NA,307774,511.9,"2020-03-21"
"189","Illinois","McLean",3,88,49180,NA,171517,143.3,"2020-03-21"
"190","Illinois","Menard",0,4,47233,NA,12196,40.4,"2020-03-21"
"191","Illinois","Mercer",0,7,45046,22,15437,29.3,"2020-03-21"
"192","Illinois","Monroe",10,64,58686,NA,34637,85.6,"2020-03-21"
"193","Illinois","Montgomery",1,23,37717,50,28414,42.8,"2020-03-21"
"194","Illinois","Morgan",1,16,41359,108,33658,62.5,"2020-03-21"
"195","Illinois","Moultrie",0,4,62718,NA,14501,44.2,"2020-03-21"
